elapsed_sec,joint_name,position,velocity,effort
337.077429437,joint_5,0.799990619,nan,nan
337.077429437,joint_6,-0.000001132,nan,nan
337.102587737,joint_1,-0.000000590,nan,nan
337.102587737,joint_2,-0.799990635,nan,nan
337.102587737,joint_3,1.200001832,nan,nan
337.102587737,joint_4,0.000009971,nan,nan
337.102587737,joint_5,0.799990619,nan,nan
337.102587737,joint_6,-0.000001132,nan,nan
337.160434536,joint_1,-0.000000590,nan,nan
337.160434536,joint_2,-0.799990635,nan,nan
337.160434536,joint_3,1.200001832,nan,nan
337.160434536,joint_4,0.000009971,nan,nan
337.160434536,joint_5,0.799990619,nan,nan
337.160434536,joint_6,-0.000001132,nan,nan
337.178613236,joint_1,-0.000000590,nan,nan
337.178613236,joint_2,-0.799990635,nan,nan
337.178613236,joint_3,1.200001832,nan,nan
337.178613236,joint_4,0.000009971,nan,nan
337.178613236,joint_5,0.799990619,nan,nan
337.178613236,joint_6,-0.000001132,nan,nan
337.198640935,joint_1,-0.000000590,nan,nan
337.198640935,joint_2,-0.799990635,nan,nan
