elapsed_sec,level,status
10.411723637,WARNING,WARNING: waiting for first /task_phase message
10.411997437,OK,OK: joint states valid during phase uninitialized
10.435277737,OK,OK: joint states valid during phase uninitialized
10.457477737,OK,OK: joint states valid during phase uninitialized
10.481901038,OK,OK: joint states valid during phase uninitialized
10.506931438,OK,OK: joint states valid during phase uninitialized
10.532211938,OK,OK: joint states valid during phase uninitialized
10.554231238,OK,OK: joint states valid during phase uninitialized
10.575370238,OK,OK: joint states valid during phase uninitialized
10.598142938,OK,OK: joint states valid during phase uninitialized
10.610783038,WARNING,WARNING: waiting for first /task_phase message
10.618327238,OK,OK: joint states valid during phase uninitialized
10.638638338,OK,OK: joint states valid during phase uninitialized
10.665766738,OK,OK: joint states valid during phase uninitialized
10.683435539,OK,OK: joint states valid during phase uninitialized
10.708222739,OK,OK: joint states valid during phase uninitialized
10.729479439,OK,OK: joint states valid during phase uninitialized
10.753269839,OK,OK: joint states valid during phase uninitialized
10.777920239,OK,OK: joint states valid during phase uninitialized
10.795817739,OK,OK: joint states valid during phase uninitialized
10.811091739,WARNING,WARNING: waiting for first /task_phase message
10.816782839,OK,OK: joint states valid during phase uninitialized
10.839971039,OK,OK: joint states valid during phase uninitialized
10.859148439,OK,OK: joint states valid during phase uninitialized
10.878871040,OK,OK: joint states valid during phase uninitialized
10.899251640,OK,OK: joint states valid during phase uninitialized
10.922681140,OK,OK: joint states valid during phase uninitialized
10.942582640,OK,OK: joint states valid during phase uninitialized
10.964041940,OK,OK: joint states valid during phase uninitialized
10.984622840,OK,OK: joint states valid during phase uninitialized
11.005194140,OK,OK: joint states valid during phase uninitialized
11.011126540,WARNING,WARNING: waiting for first /task_phase message
11.028873540,OK,OK: joint states valid during phase uninitialized
11.048923640,OK,OK: joint states valid during phase uninitialized
11.070472640,OK,OK: joint states valid during phase uninitialized
11.090592441,OK,OK: joint states valid during phase uninitialized
11.110542141,OK,OK: joint states valid during phase uninitialized
11.133375441,OK,OK: joint states valid during phase uninitialized
11.156545441,OK,OK: joint states valid during phase uninitialized
11.177737641,OK,OK: joint states valid during phase uninitialized
11.198953541,OK,OK: joint states valid during phase uninitialized
11.210754741,WARNING,WARNING: waiting for first /task_phase message
11.219940941,OK,OK: joint states valid during phase uninitialized
11.241145841,OK,OK: joint states valid during phase uninitialized
11.259874041,OK,OK: joint states valid during phase uninitialized
11.283418742,OK,OK: joint states valid during phase uninitialized
11.306597442,OK,OK: joint states valid during phase uninitialized
11.326531142,OK,OK: joint states valid during phase uninitialized
11.346507942,OK,OK: joint states valid during phase uninitialized
11.371543142,OK,OK: joint states valid during phase uninitialized
11.394808642,OK,OK: joint states valid during phase uninitialized
11.410754042,WARNING,WARNING: waiting for first /task_phase message
11.418304342,OK,OK: joint states valid during phase uninitialized
11.438212842,OK,OK: joint states valid during phase uninitialized
11.460016942,OK,OK: joint states valid during phase uninitialized
11.482601043,OK,OK: joint states valid during phase uninitialized
11.503597943,OK,OK: joint states valid during phase uninitialized
11.523711743,OK,OK: joint states valid during phase uninitialized
11.546867843,OK,OK: joint states valid during phase uninitialized
